trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,top_k_rate,top_k_max_cells,max_candidate_cells,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,blocked_task_quarantines,blocked_task_quarantine_time_s,maximum_quarantine_level,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,allocator_calls,allocator_time_ms_total,allocator_time_ms_mean,allocator_time_ms_median,allocator_time_ms_p95,allocator_time_ms_max,allocator_solve_time_ms_total,allocator_solve_time_ms_mean,allocator_solve_time_ms_median,allocator_solve_time_ms_p95,allocator_solve_time_ms_max,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean,candidate_filter_time_ms_median,candidate_filter_time_ms_p95,candidate_filter_time_ms_max,trial_status
7,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,02,51,13,0,49,3,2,2,2,0,0.0,0,0,140,105,35,380,0,43,2975.72195,69.20283604651164,0.099164,157.869819,328.34158,2973.1350039999998,69.1426745116279,0.099164,157.60538,328.148851,21,2.586946,0.12318790476190478,0.106716,0.264439,0.272022,completed
7,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,03,51,16,2,46,6,0,0,0,0,0.0,0,0,144,104,40,375,0,44,3360.2742700000003,76.36986977272728,106.76047,176.394869,336.299109,3357.5339859999995,76.30759059090907,106.698069,176.221467,336.084013,24,2.740284,0.1141785,0.098108,0.257751,0.277526,completed
8,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,00,48,8,2,37,12,1,0,0,0,0.0,0,0,131,99,32,384,0,53,5463.218895,103.07960179245283,129.238603,181.789916,232.770169,5458.824492000001,102.9966885283019,129.215052,181.544613,232.648349,40,4.3944030000000005,0.10986007500000002,0.11004449999999999,0.226712,0.292917,completed
8,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,01,38,13,0,37,2,0,0,0,0,0.0,0,0,121,79,42,393,0,70,6416.0682799999995,91.65811828571428,91.9444305,187.914218,237.778461,6412.137378999999,91.60196255714284,91.93017499999999,187.906634,237.59354,53,3.9309009999999995,0.07416794339622641,0.022495,0.240376,0.25871,completed
8,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,02,43,13,0,44,0,0,0,0,0,0.0,0,0,130,88,42,384,0,61,5420.811192,88.86575724590165,103.751343,158.059493,184.718003,5417.595148999999,88.81303522950817,103.728752,157.885292,184.52169,48,3.2160429999999995,0.06700089583333332,0.0217275,0.246679,0.477391,completed
8,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,03,47,16,0,48,0,2,0,0,0,0.0,0,0,133,96,37,381,0,62,5371.812295999999,86.6421338064516,90.972308,200.868014,221.961512,5368.967568,86.5962510967742,90.96507600000001,200.819055,221.89137,42,2.8447280000000004,0.06773161904761905,0.008320000000000001,0.241623,0.262807,completed
9,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,00,50,16,0,50,1,0,0,0,0,0.0,0,0,135,101,34,334,0,36,2452.905805,68.13627236111111,39.686377,162.523189,228.655554,2450.885624,68.08015622222223,39.682728999999995,162.43628,228.433995,18,2.020181,0.11223227777777778,0.085885,0.332499,0.332499,completed
9,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,01,30,12,0,31,0,0,0,0,0,0.0,0,0,96,62,34,372,0,66,5745.739592999999,87.05666049999999,92.4567265,194.336359,239.841431,5743.616438000001,87.0244914848485,92.4492065,194.073361,239.833783,47,2.123155,0.04517351063829787,0.0088,0.213945,0.262998,completed
9,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,02,29,9,0,30,0,2,0,0,0,0.0,0,0,101,61,40,367,0,64,5674.880178,88.67000278125,104.618201,150.585993,236.353773,5672.1978089999975,88.62809076562496,104.6013215,150.516012,236.211187,52,2.682369,0.05158401923076923,0.022111,0.223192,0.273686,completed
9,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,03,48,13,1,44,5,2,0,0,0,0.0,0,0,137,98,39,331,0,39,3597.315610999999,92.2388618205128,112.017291,158.655966,158.674271,3594.835734,92.17527523076923,111.995436,158.428102,158.499493,29,2.479877,0.085513,0.060318,0.227864,0.260822,completed
10,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,00,49,14,2,45,5,1,1,1,0,0.0,0,0,136,100,36,364,0,45,3990.450084999999,88.67666855555554,111.26997,178.105617,298.874394,3987.528716,88.61174924444444,111.239027,178.068818,298.651042,29,2.921369,0.10073686206896551,0.066302,0.243767,0.260951,completed
10,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,01,48,18,0,49,0,2,0,0,0,0.0,0,0,136,97,39,365,0,41,3182.7250729999996,77.62744080487803,117.160156,203.895424,238.325046,3180.4300869999997,77.57146553658536,117.137149,203.771844,238.096606,21,2.294986,0.10928504761904763,0.089852,0.2414,0.264086,completed
10,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,02,26,7,1,26,1,0,1,1,0,0.0,0,0,110,56,54,390,0,67,7244.47008,108.12641910447762,126.926487,166.32041,245.867206,7240.253271000001,108.06348165671643,126.894072,166.254749,245.674829,56,4.2168090000000005,0.07530016071428572,0.0355985,0.230391,0.268662,completed
10,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,03,39,11,0,40,0,3,0,0,0,0.0,0,0,119,80,39,381,0,58,4423.917236,76.27443510344828,99.8315535,154.670209,242.181835,4421.033404,76.22471386206897,99.8004025,154.564101,241.985042,38,2.883832000000001,0.07589031578947371,0.0412785,0.231064,0.26127,completed
11,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,00,42,14,1,42,1,1,0,0,0,0.0,0,0,118,86,32,334,0,43,3319.550343,77.19884518604651,104.730889,182.464987,228.369781,3317.1739500000003,77.14358023255815,104.723114,182.330112,228.149277,23,2.3763929999999998,0.10332143478260869,0.095869,0.267702,0.26943,completed
11,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,01,22,5,2,18,5,0,0,0,0,0.0,0,0,94,47,47,358,0,67,7044.8674219999975,105.14727495522385,116.101961,187.769796,210.918548,7040.4319380000015,105.08107370149256,116.030028,187.748164,210.805304,54,4.435484000000001,0.08213859259259261,0.0713095,0.227992,0.270167,completed
11,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,02,36,12,0,37,0,0,0,0,0,0.0,0,0,115,75,40,337,0,47,4129.529782,87.86233578723403,117.476057,169.576342,204.151525,4126.913622,87.80667280851064,117.45513,169.554359,203.928077,31,2.6161600000000003,0.08439225806451614,0.037598,0.268535,0.291605,completed
11,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,03,46,19,1,46,1,0,0,0,0,0.0,0,0,126,93,33,327,0,40,3176.267469,79.406686725,110.2214395,165.411469,252.856601,3173.730215,79.343255375,110.1906405,165.383342,252.626721,24,2.537254,0.10571891666666666,0.09268499999999999,0.22988,0.268406,completed
12,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,00,42,16,0,42,1,0,0,0,0,0.0,0,0,119,86,33,351,0,37,2838.2839609999996,76.71037732432431,111.054699,161.476161,229.165865,2835.725111,76.64121921621623,111.01486,161.232618,228.899155,21,2.5588499999999996,0.12184999999999999,0.094396,0.264214,0.26671,completed
12,known_visit,DGA,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_dga_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,01,43,16,0,44,0,2,0,0,0,0.0,0,0,127,87,40,343,0,36,2844.7946369999995,79.02207324999999,121.51432,179.697262,194.896069,2842.50688,78.95852444444444,121.489137,179.557555,194.656494,20,2.2877569999999996,0.11438784999999999,0.11025199999999999,0.239575,0.259318,completed
